High-yielding,Not high-yielding,sentences
0,1,5-(hydroxymethyl)-2-propyl-1-[[4-[2-(1-trityltetrazol-5-yl)phenyl]phenyl]methyl]imidazole-4-carbaldehyde and ethyl acetate react together in the presence of oxolane to produce [5-ethenyl-2-propyl-3-[[4-[2-(1-trityltetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol.
0,1,"ethyl 2-[2-[(2-methylpropan-2-yl)oxycarbonylamino]ethylamino]acetate and 3-(5-methyl-2,4-dioxopyrimidin-1-yl)propanoic acid react together in the presence of Dicyclohexylcarbodiimide, N,N-dimethylformamide, dichloromethane to produce ethyl 2-[3-(5-methyl-2,4-dioxopyrimidin-1-yl)propanoyl-[2-[(2-methylpropan-2-yl)oxycarbonylamino]ethyl]amino]acetate."
0,1,"2-(3-aminophenoxy)-N-methylacetamide and 2,4-dichloro-7H-pyrrolo[2,3-d]pyrimidine react together in the presence of N-ethyl-N-propan-2-ylpropan-2-amine, ethyl acetate, methylsulfinylmethane to produce 2-[3-[(2-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]phenoxy]-N-methylacetamide."
0,1,"4-cyano-3-[4-(2-cyanophenyl)phenyl]-N-(dimethylaminomethylidene)-5-ethyl-1-methylpyrrole-2-carboxamide and hydrazine react together in the presence of acetic acid, oxidane to produce 4-[4-(2-cyanophenyl)phenyl]-2-ethyl-1-methyl-5-(1H-1,2,4-triazol-5-yl)pyrrole-3-carbonitrile."
0,1,"(4-methoxyphenyl)methyl (6R)-3-(chloromethyl)-7-[[(2E)-2-[2-methyl-1-[(2-methylpropan-2-yl)oxy]-1-oxopropan-2-yl]oxyimino-2-[2-(tritylamino)-1,3-thiazol-4-yl]acetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate and 3H-[1,3]thiazolo[4,5-b]pyridine-2-thione react together in the presence of 3H-[1,3]thiazolo[4,5-c]pyridine-2-thione to produce (4-methoxyphenyl)methyl (6R)-7-[[(2E)-2-[2-methyl-1-[(2-methylpropan-2-yl)oxy]-1-oxopropan-2-yl]oxyimino-2-[2-(tritylamino)-1,3-thiazol-4-yl]acetyl]amino]-8-oxo-3-([1,3]thiazolo[4,5-b]pyridin-2-ylsulfanylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate."
0,1,"(6R,7R)-7-[[2-(furan-2-yl)-2-methoxyiminoacetyl]amino]-3-(hydroxymethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid and [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate react together in the presence of chlorane, carbamoyl phosphate, sulfate, chloride, magnesium(2+), manganese(2+) to produce (6R,7R)-3-(carbamoyloxymethyl)-7-[[2-(furan-2-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid."
0,1,"2-aminoethanol and 3,6-dichloro-4H-thieno[3,2-e][1,2,4]thiadiazine 1,1-dioxide react together to produce 2-[(6-chloro-1,1-dioxo-4H-thieno[3,2-e][1,2,4]thiadiazin-3-ylidene)amino]ethanol."
1,0,"2-methoxybenzoyl chloride and 2-amino-4-methylbenzonitrile react together in the presence of hexane, N,N-diethylethanamine, N,N-dimethylpyridin-2-amine, dichloromethane, oxidane to produce N-(2-cyano-5-methylphenyl)-2-methoxybenzamide."
1,0,"4-amino-2-(tert-butylsulfamoyl)-N,N-dimethylbenzamide and methyl carbonochloridate react together in the presence of acetonitrile, ethyl acetate, hydrogen carbonate, sodium(1+) to produce methyl N-[3-(tert-butylsulfamoyl)-4-(dimethylcarbamoyl)phenyl]carbamate."
1,0,"6-fluoro-2-(4-nitrophenyl)-1H-pyrazolo[4,3-c]quinolin-3-one reacts in the presence of ethanol, ethyl acetate, dichlorotin, oxidane, hydrogen carbonate, sodium(1+) to produce 2-(4-aminophenyl)-6-fluoro-1H-pyrazolo[4,3-c]quinolin-3-one."
0,1,"2-[(4-iodophenyl)hydrazinylidene]propanedinitrile and hydrazine react together in the presence of propanedinitrile, 4-iodoaniline, oxidane to produce 4-[(4-iodophenyl)diazenyl]-1H-pyrazole-3,5-diamine."
1,0,"3-[3-(trifluoromethyl)phenyl]prop-2-enoic acid reacts in the presence of methanol, palladium to produce 3-[3-(trifluoromethyl)phenyl]propanoic acid."
1,0,"isocyanate and 2-aminobenzoic acid react together in the presence of acetic acid, chlorane, oxidane, potassium(1+), sodium(1+), hydroxide to produce 1H-quinazoline-2,4-dione."
1,0,methyl (2S)-2-[5-[4-[[2-fluoro-4-(trifluoromethyl)benzoyl]amino]phenyl]-3-oxo-1H-isoindol-2-yl]-3-methylbutanoate reacts in the presence of (2S)-2-[5-(4-benzamidophenyl)-3-oxo-1H-isoindol-2-yl]-3-methylbutanoic acid to produce (2S)-2-[5-[4-[[2-fluoro-4-(trifluoromethyl)benzoyl]amino]phenyl]-3-oxo-1H-isoindol-2-yl]-3-methylbutanoic acid.
0,1,"bromomethylbenzene and 4-(4-nitrophenyl)-3-(sulfanylmethyl)oxolan-2-one react together in the presence of ethanol, ethyl acetate, potassium(1+), hydroxide to produce 3-(benzylsulfanylmethyl)-4-(4-nitrophenyl)oxolan-2-one."
0,1,"2-[di(propan-2-yloxy)phosphorylmethyl-propan-2-yloxyphosphoryl]oxypropane and N-ethylethanamine react together in the presence of formaldehyde, methanol to produce 2-[1-di(propan-2-yloxy)phosphorylethenyl-propan-2-yloxyphosphoryl]oxypropane."
1,0,"3-(6-chloropyridin-3-yl)-3-(3,4-dimethoxyphenyl)-1-morpholin-4-ylprop-2-en-1-one and phenylmethanol react together in the presence of hydride, sodium(1+) to produce 3-(3,4-dimethoxyphenyl)-1-morpholin-4-yl-3-(6-phenylmethoxypyridin-3-yl)prop-2-en-1-one."
1,0,"tert-butyl 2-[3-[[5-chloro-1-(4-fluorobutyl)benzimidazol-2-yl]methyl]-2-oxoimidazo[4,5-c]pyridin-1-yl]acetate reacts in the presence of oxolane, chlorane, dichloromethane, oxidane, lithium(1+), hydroxide to produce 2-[3-[[5-chloro-1-(4-fluorobutyl)benzimidazol-2-yl]methyl]-2-oxoimidazo[4,5-c]pyridin-1-yl]acetic acid."
0,1,"2-(bromomethyl)-1,3-dichlorobenzene and 2-amino-1,3-benzothiazol-6-ol react together in the presence of acetic acid, hydrogen carbonate, sodium(1+), hydroxide to produce 6-[(2,6-dichlorophenyl)methoxy]-1,3-benzothiazol-2-amine."
1,0,"2,4,5-trifluorobenzonitrile and [4-chloro-3-(trifluoromethyl)phenyl]methanol react together in the presence of methylsulfinylmethane, carbonate, potassium(1+) to produce 4-[[4-chloro-3-(trifluoromethyl)phenyl]methoxy]-2,5-difluorobenzonitrile."
0,1,"di(imidazol-1-yl)methanone and 3,4-dichlorophenol react together in the presence of dichloromethane to produce (3,4-dichlorophenyl) imidazole-1-carboxylate."
0,1,"2-benzyl-5-tert-butylpyrazole-3-carbonyl chloride and 2-(5-chloro-1H-indol-3-yl)ethanamine react together in the presence of N,N-diethylethanamine, ethyl acetate, chlorane, dichloromethane to produce 2-benzyl-5-tert-butyl-N-[2-(5-chloro-1H-indol-3-yl)ethyl]pyrazole-3-carboxamide."
1,0,"2,4-dichloro-1,1,1-trifluoro-5-methylhex-2-ene reacts in the presence of N,N-dimethylformamide, oxidane, chloride, lithium(1+) to produce 2-chloro-1,1,1-trifluoro-5-methylhexa-2,4-diene."
0,1,"5-bromo-2,3-dihydro-1H-pyrrolo[2,3-b]pyridine and pyridin-3-ylboronic acid react together in the presence of 1,4-dioxane, 4-ditert-butylphosphanyl-N,N-dimethylaniline, dichloropalladium, oxidane, carbonate, potassium(1+) to produce 5-pyridin-3-yl-2,3-dihydro-1H-pyrrolo[2,3-b]pyridine."
1,0,"1-O-tert-butyl 3-O-ethyl 3-carbamoylazetidine-1,3-dicarboxylate reacts in the presence of oxolane, (2,2,2-trifluoroacetyl) 2,2,2-trifluoroacetate, pyridine to produce 1-O-tert-butyl 3-O-ethyl 3-cyanoazetidine-1,3-dicarboxylate."
0,1,"7-phenylmethoxynaphthalen-1-amine and iodide react together in the presence of oxolane, chlorane, oxidane, nitrite, potassium(1+), sodium(1+) to produce 1-iodo-7-phenylmethoxynaphthalene."
1,0,"2-(4-bromophenyl)sulfanylacetic acid reacts in the presence of N,N-dimethylformamide, chlorane, dichloromethane, oxidane, thionyl dichloride, aluminum(3+), chloride to produce 5-bromo-2,3-dihydro-1-benzothiophen-3-ol."
0,1,"6-propyl-2,3-dihydro-1H-indole and 4-chloro-6,7-dimethoxyquinazoline react together in the presence of propan-2-ol to produce 6,7-dimethoxy-4-(6-propyl-2,3-dihydroindol-1-yl)quinazoline."
1,0,pyridin-3-amine and 1-chloro-2-isocyanatoethane react together to produce 1-(2-chloroethyl)-3-pyridin-3-ylurea.
0,1,"2,2-diethoxyethanamine and benzaldehyde react together in the presence of oxolane, triacetyloxyboranuide, ethyl acetate to produce N-benzyl-2,2-diethoxyethanamine."
0,1,"tert-butyl 3-aminopyrazole-1-carboxylate and 3-[5-(azetidine-1-carbonyl)pyrazin-2-yl]oxy-5-[(2S)-1-(difluoromethoxy)propan-2-yl]oxybenzoic acid react together in the presence of 1-chloro-N,N,2-trimethylprop-1-en-1-amine, ethyl acetate, dichloromethane, oxidane, pyridine to produce tert-butyl 3-[[3-[5-(azetidine-1-carbonyl)pyrazin-2-yl]oxy-5-[(2S)-1-(difluoromethoxy)propan-2-yl]oxybenzoyl]amino]pyrazole-1-carboxylate."
0,1,"3-(2-chloro-4-methoxyphenyl)-4-methyl-5-(1-thiophen-2-ylcyclopentyl)-1,2,4-triazole reacts in the presence of ethanethiolate, N,N-dimethylformamide, chloroform, sodium(1+) to produce 3-chloro-4-[4-methyl-5-(1-thiophen-2-ylcyclopentyl)-1,2,4-triazol-3-yl]phenol."
1,0,"1-(2-methylprop-2-enoxy)-4-phenylmethoxybenzene and 3-chlorobenzenecarboperoxoic acid react together in the presence of dichloromethane, sulfite, sodium(1+) to produce 2-methyl-2-[(4-phenylmethoxyphenoxy)methyl]oxirane."
1,0,tert-butyl (2-methylpropan-2-yl)oxycarbonyl carbonate and 1-(4-bromophenyl)ethanamine react together to produce tert-butyl N-[1-(4-bromophenyl)ethyl]carbamate.
1,0,"1-(6-bromopyridin-3-yl)ethanone and 1H-pyrazole react together in the presence of N,N-dimethylformamide, oxidane, carbonate, potassium(1+) to produce 1-(6-pyrazol-1-ylpyridin-3-yl)ethanone."
1,0,"7-benzyl-1-[3-[tert-butyl(dimethyl)silyl]oxypropyl]-8-chloro-3-(2-trimethylsilylethoxymethyl)purine-2,6-dione and chlorane react together in the presence of ethanol to produce 8-chloro-7-[(4-chlorophenyl)methyl]-1-(3-hydroxypropyl)-3H-purine-2,6-dione."
0,1,"3-aminophenol and 2-[4-(1-adamantyl)phenoxy]acetic acid react together in the presence of N-ethyl-N-propan-2-ylpropan-2-amine, N,N-dimethylformamide, hexafluorophosphate, benzotriazol-1-yloxy(tripyrrolidin-1-yl)phosphanium to produce 2-[4-(1-adamantyl)phenoxy]-N-(3-hydroxyphenyl)acetamide."
1,0,"3-chloro-6-[4-(difluoromethoxy)-3-methoxyphenyl]pyridazine reacts in the presence of phenylmethanamine, carbonate, potassium(1+) to produce N-benzyl-6-[4-(difluoromethoxy)-3-methoxyphenyl]pyridazin-3-amine."
0,1,"1-iodopropane and 4-hydroxy-3-methoxy-5-nitrobenzaldehyde react together in the presence of N,N-dimethylformamide, oxidane, carbonate, potassium(1+) to produce 3-methoxy-5-nitro-4-propoxybenzaldehyde."
0,1,"6-amino-5-fluoro-3H-1,3-benzoxazol-2-one and 3-(oxan-3-yl)propanal react together in the presence of acetic acid, methanol, cyanoboranuide, sodium(1+) to produce 5-fluoro-6-[3-(oxan-3-yl)propylamino]-3H-1,3-benzoxazol-2-one."
1,0,"methyl 1-[(4-fluorophenyl)methyl]-4-hydroxypyrrolo[2,3-c]pyridine-5-carboxylate and trifluoromethylsulfonyl trifluoromethanesulfonate react together in the presence of N,N-diethylethanamine, dichloromethane to produce methyl 1-[(4-fluorophenyl)methyl]-4-(trifluoromethylsulfonyloxy)pyrrolo[2,3-c]pyridine-5-carboxylate."
0,1,"1,3-dichloro-5-(3,3,3-trifluoroprop-1-en-2-yl)benzene and methyl 4-(hydroxyiminomethyl)naphthalene-1-carboxylate react together in the presence of N,N-diethylethanamine, N,N-dimethylformamide, oxidane, 1-chloropyrrolidine-2,5-dione to produce methyl 4-[5-(3,5-dichlorophenyl)-5-(trifluoromethyl)-4H-1,2-oxazol-3-yl]naphthalene-1-carboxylate."
0,1,"methyl 4-formylbenzoate and 2-(triphenyl-lambda5-phosphanylidene)acetaldehyde react together in the presence of oxolane, benzoic acid to produce methyl 4-(3-oxoprop-1-enyl)benzoate."
0,1,"propan-2-yl 2-oxo-3-phenyl-1,3-dihydropyrido[2,3-b]pyrazine-4-carboxylate and 2,4-bis(4-methoxyphenyl)-2,4-bis(sulfanylidene)-1,3,2lambda5,4lambda5-dithiadiphosphetane react together to produce propan-2-yl 3-phenyl-2-sulfanylidene-1,3-dihydropyrido[2,3-b]pyrazine-4-carboxylate."
1,0,"methyl 5-(3,3-dimethylbut-1-ynyl)-3-[(4-methylcyclohexanecarbonyl)-[(2,2,2-trifluoroacetyl)amino]amino]thiophene-2-carboxylate reacts in the presence of ethyl acetate, chlorane, sodium(1+), hydroxide to produce 3-[amino-(4-methylcyclohexanecarbonyl)amino]-5-(3,3-dimethylbut-1-ynyl)thiophene-2-carboxylic acid."
0,1,"N-butylbutan-1-amine and (7S)-5-[5-(chloromethyl)-1,2,4-oxadiazol-3-yl]-2,4,10-triazatetracyclo[10.4.0.02,6.07,10]hexadeca-1(16),3,5,12,14-pentaen-11-one react together in the presence of N,N-dimethylformamide to produce (7S)-5-[5-[(dibutylamino)methyl]-1,2,4-oxadiazol-3-yl]-2,4,10-triazatetracyclo[10.4.0.02,6.07,10]hexadeca-1(16),3,5,12,14-pentaen-11-one."
1,0,"tert-butyl 2-[6-[1-[4-methyl-2-[4-(trifluoromethyl)phenyl]-1,3-thiazol-5-yl]ethoxy]indol-1-yl]acetate reacts in the presence of oxolane, methanol, chlorane, sodium(1+), hydroxide to produce 2-[6-[1-[4-methyl-2-[4-(trifluoromethyl)phenyl]-1,3-thiazol-5-yl]ethoxy]indol-1-yl]acetic acid."
0,1,"16-hydroxyhexadecanoic acid and iodide react together in the presence of ethoxyethane, oxidane, phosphoric acid, 2,4,6,8,9,10-hexaoxa-1lambda5,3lambda5,5lambda5,7lambda5-tetraphosphatricyclo[3.3.1.13,7]decane 1,3,5,7-tetraoxide, potassium(1+) to produce 2-iodohexadecanoic acid."
0,1,"ethyl 5,6-bis(2-methylprop-1-enyl)pyridine-3-carboxylate reacts in the presence of oxolane, palladium to produce ethyl 5,6-bis(2-methylpropyl)pyridine-3-carboxylate."
1,0,"azane and 4-(1,3-oxazol-5-yl)benzenesulfonyl chloride react together in the presence of oxolane, oxidane to produce 4-(1,3-oxazol-5-yl)benzenesulfonamide."
1,0,"ethynyl(trimethyl)silane and 4-(2-fluoro-4-iodoanilino)-1-methyl-6-oxopyridine-3-carboxamide react together in the presence of oxolane, N,N-dimethylformamide, dichloropalladium;triphenylphosphanium, iodocopper to produce 4-[2-fluoro-4-(2-trimethylsilylethynyl)anilino]-1-methyl-6-oxopyridine-3-carboxamide."
0,1,"tributyl(ethynyl)stannane and oxolane react together in the presence of dichloromethane, palladium;triphenylphosphanium to produce 3-(4-ethynylphenyl)-2-methylpyridine."
1,0,"tert-butyl N-[2-(4-bromo-2-chlorophenyl)ethyl]carbamate and 4,4,5,5-tetramethyl-2-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1,3,2-dioxaborolane react together to produce tert-butyl N-[2-[2-chloro-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl]ethyl]carbamate."
1,0,"4-methylbenzenesulfonyl chloride and 1H-indole-7-carbaldehyde react together in the presence of oxolane, chloride, hydride, azanium, sodium(1+) to produce 1-(4-methylphenyl)sulfonylindole-7-carbaldehyde."
0,1,"(2-fluorophenyl)methanamine and 4-(1H-benzimidazol-2-ylmethyl)cyclohexane-1-carboxylic acid react together in the presence of N,N-dimethylformamide, 1,2-dichloroethane, 3-hydroxytriazolo[4,5-b]pyridine to produce 4-(1H-benzimidazol-2-ylmethyl)-N-[(2-fluorophenyl)methyl]cyclohexane-1-carboxamide."
1,0,"trimethyl-[3-(2-methyl-1,3-dioxolan-2-yl)-5-trimethylgermylphenyl]germane reacts in the presence of propan-2-one, 4-methylbenzenesulfonate, oxidane, pyridin-1-ium to produce 1-[3,5-bis(trimethylgermyl)phenyl]ethanone."
1,0,"bromomethylbenzene and 2-(4-hydroxyphenyl)acetonitrile react together in the presence of propan-2-one, carbonate, potassium(1+) to produce 2-(4-phenylmethoxyphenyl)acetonitrile."
0,1,"5-methyl-1-phenylpyrazole-3-carboxylic acid and N-[6-(3-aminophenyl)sulfanylimidazo[1,2-b]pyridazin-2-yl]cyclopropanecarboxamide react together in the presence of oxolane, N,N-dimethylacetamide, N,N-dimethylformamide, oxalyl dichloride to produce N-[3-[2-(cyclopropanecarbonylamino)imidazo[1,2-b]pyridazin-6-yl]sulfanylphenyl]-5-methyl-1-phenylpyrazole-3-carboxamide."
0,1,"tert-butyl N-[(3R)-piperidin-3-yl]carbamate and 4,5-dichloro-N-(1-methylpyrazol-4-yl)-7H-pyrrolo[2,3-d]pyrimidin-2-amine react together in the presence of N-ethyl-N-propan-2-ylpropan-2-amine, methylsulfinylmethane, oxidane to produce tert-butyl N-[1-[5-chloro-2-[(1-methylpyrazol-4-yl)amino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]piperidin-3-yl]carbamate."
1,0,"5-tert-butyl-3-isocyanato-1,2-oxazole and N-methylbutan-1-amine react together in the presence of benzene to produce 1-butyl-3-(5-tert-butyl-1,2-oxazol-3-yl)-1-methylurea."
1,0,"methyl 3-[2,6-dipropyl-4-(trifluoromethyl)phenyl]prop-2-enoate reacts in the presence of oxolane, methanol, lithium(1+), hydroxide to produce 3-[2,6-dipropyl-4-(trifluoromethyl)phenyl]prop-2-enoic acid."
0,1,"4-bromo-2-chloro-6-fluoroaniline and [3-(2,2,2-trifluoroethoxy)phenyl]boronic acid react together to produce 2-chloro-6-fluoro-4-[3-(2,2,2-trifluoroethoxy)phenyl]aniline."
1,0,"[2-(2-methoxyphenyl)pyridin-3-yl]methanamine and 1,2-dichloro-3-isothiocyanatobenzene react together in the presence of hydrogen carbonate, sodium(1+) to produce 1-(2,3-dichlorophenyl)-3-[[2-(2-methoxyphenyl)pyridin-3-yl]methyl]thiourea."
1,0,"methyl 2-(4-chloro-3-nitrophenyl)-2-methylpropanoate reacts in the presence of methanol, potassium(1+), hydroxide to produce 2-(4-chloro-3-nitrophenyl)-2-methylpropanoic acid."
0,1,"2-[6-[(2-amino-7-chloro-1H-triazolo[4,5-d]pyrimidin-3-yl)methyl]pyridin-2-yl]propan-2-ol and (3-methoxyphenyl)boronic acid react together to produce 2-[6-[[2-amino-7-(3-methoxyphenyl)-1H-triazolo[4,5-d]pyrimidin-3-yl]methyl]pyridin-2-yl]propan-2-ol."
0,1,"diethyl propanedioate and 2-nitrobenzaldehyde react together in the presence of acetyl acetate, hydrogen carbonate, sodium(1+) to produce diethyl 2-[(2-nitrophenyl)methylidene]propanedioate."
1,0,"4-[(4-methoxyphenyl)methoxy]but-2-enyl 2-diazoacetate reacts in the presence of dichloromethane to produce (1R,5S,6S)-6-[(4-methoxyphenyl)methoxymethyl]-3-oxabicyclo[3.1.0]hexan-2-one."
0,1,methyl 2-[3-[[3-[2-amino-4-methyl-6-(pentylamino)pyrimidin-5-yl]propylamino]methyl]phenyl]acetate and 1-methylimidazole-4-sulfonyl chloride react together in the presence of dichloromethane to produce methyl 2-[3-[[3-[2-amino-4-methyl-6-(pentylamino)pyrimidin-5-yl]propyl-(1-methylimidazol-4-yl)sulfonylamino]methyl]phenyl]acetate.
0,1,"[dimethylamino(triazolo[4,5-b]pyridin-3-yloxy)methylidene]-dimethylazanium and 3-(3-methylphenoxy)benzoic acid react together in the presence of N-ethyl-N-propan-2-ylpropan-2-amine, N,N-dimethylformamide, chlorane, hexafluorophosphate to produce N-[2-(5-chloro-1H-indol-3-yl)ethyl]-4-(3-methylphenoxy)benzamide."
1,0,"3-(2-ethyl-5-formylpyrazol-3-yl)benzonitrile reacts in the presence of ethanol, boranuide, chloride, azanium, sodium(1+) to produce 3-[2-ethyl-5-(hydroxymethyl)pyrazol-3-yl]benzonitrile."
0,1,"N-[1-(6-chloropyridazin-3-yl)ethylidene]-2-methylpropane-2-sulfinamide and magnesium;carbanide;bromide react together in the presence of oxolane, ethyl acetate, chloride, azanium to produce N-[2-(6-chloropyridazin-3-yl)propan-2-yl]-2-methylpropane-2-sulfinamide."
0,1,acetyl chloride and 3-[3-(benzylcarbamoyl)pyridin-2-yl]oxybenzoic acid react together in the presence of methanol to produce methyl 3-[3-(benzylcarbamoyl)pyridin-2-yl]oxybenzoate.
0,1,"3-ethynylpyridin-2-amine and 2-[4-[(4-fluoropyridin-2-yl)oxymethyl]phenyl]-N-hydroxyethanimidoyl chloride react together in the presence of oxolane, N,N-diethylethanamine, oxidane to produce 3-[3-[[4-[(4-fluoropyridin-2-yl)oxymethyl]phenyl]methyl]-1,2-oxazol-5-yl]pyridin-2-amine."
0,1,"8-methoxy-6-nitro-4-oxo-1H-quinoline-3-carbonitrile and pentachloro-lambda5-phosphane react together in the presence of hexane, phosphoryl trichloride to produce 4-chloro-8-methoxy-6-nitroquinoline-3-carbonitrile."
1,0,"4-amino-1,3-dihydroindol-2-one and dipyridin-2-yloxymethanethione react together in the presence of N,N-dimethylpyridin-4-amine, dichloromethane to produce 4-isothiocyanato-1,3-dihydroindol-2-one."
1,0,"(1S,2S,3R,4R)-3-[[6-chloro-2-[4-(morpholin-4-ylmethyl)phenyl]-1H-imidazo[4,5-b]pyridin-7-yl]amino]bicyclo[2.2.1]hept-5-ene-2-carboxamide and 2,2,2-trifluoroacetic acid react together in the presence of 2-methoxybenzaldehyde, (1S,2S,3R,4R)-3-[(2,3-diamino-5-chloropyridin-4-yl)amino]bicyclo[2.2.1]hept-5-ene-2-carboxamide to produce (1S,2S,3R,4R)-3-[[6-chloro-2-(2-methoxyphenyl)-1H-imidazo[4,5-b]pyridin-7-yl]amino]bicyclo[2.2.1]hept-5-ene-2-carboxamide."
1,0,"3-ethyl-2,6-dimethylpyrido[1,2-a]pyrimidin-4-one reacts in the presence of ethanol to produce 3-ethyl-2,6-dimethyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one."
1,0,"4-[(2-fluoro-5-methoxyphenyl)methyl]pyridine reacts in the presence of acetic acid, oxoplatinum to produce 4-[(2-fluoro-5-methoxyphenyl)methyl]piperidine."
0,1,"ethyl 6,11-dihydro-5H-pyrrolo[2,1-c][1,4]benzodiazepine-2-carboxylate and 4-[(2-methylbenzoyl)amino]benzoyl chloride react together in the presence of N,N-diethylethanamine, dichloromethane to produce ethyl 5-[4-[(2-methylbenzoyl)amino]benzoyl]-6,11-dihydropyrrolo[2,1-c][1,4]benzodiazepine-2-carboxylate."
1,0,ethyl 2-bromo-2-(3-fluorophenyl)acetate and 3-fluoroaniline react together to produce ethyl 2-(3-fluoroanilino)-2-(3-fluorophenyl)acetate.
0,1,"4-(2-oxopyridin-1-yl)benzoic acid reacts in the presence of oxolane, N,N-diethylethanamine, ethyl carbonochloridate, sulfate, boranuide, sodium(1+) to produce 4-(2-oxopyridin-1-yl)benzaldehyde."
0,1,"2-[(2,2-dimethyl-5-prop-2-enyl-1,3-dioxolan-4-yl)methyl]isoindole-1,3-dione and tert-butyl (2-methylpropan-2-yl)oxycarbonyl carbonate react together in the presence of N,N-diethylethanamine, ethanol, dichloromethane, hydrazine, oxidane, hydrogen carbonate, sodium(1+) to produce tert-butyl N-[(2,2-dimethyl-5-prop-2-enyl-1,3-dioxolan-4-yl)methyl]carbamate."
0,1,"N-[2-[2-(3,4-dimethoxyphenyl)-1H-indol-3-yl]ethyl]-3-(1-methylsulfonylbenzimidazol-5-yl)prop-2-en-1-amine reacts in the presence of potassium(1+), hydroxide to produce 3-(3H-benzimidazol-5-yl)-N-[2-[2-(3,4-dimethoxyphenyl)-1H-indol-3-yl]ethyl]prop-2-en-1-amine."
0,1,"N'-propan-2-ylethanimidamide and 3-bromo-4,4-dimethoxybutan-2-one react together in the presence of propan-2-ol, N,N-diethylethanamine, sulfuric acid to produce 1-(2-methyl-3-propan-2-ylimidazol-4-yl)ethanone."
1,0,"1-(2-phenylethyl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyrazole and tert-butyl 4-[3-[3-iodo-1-(4-methylphenyl)sulfonylpyrrolo[2,3-b]pyridin-5-yl]phenoxy]piperidine-1-carboxylate react together in the presence of ethanol, toluene, dichloropalladium;triphenylphosphanium, oxidane, carbonate, sodium(1+) to produce tert-butyl 4-[3-[1-(4-methylphenyl)sulfonyl-3-[1-(2-phenylethyl)pyrazol-4-yl]pyrrolo[2,3-b]pyridin-5-yl]phenoxy]piperidine-1-carboxylate."
0,1,"1-[diethoxyphosphorylmethyl(ethoxy)phosphoryl]oxyethane and 4-(6-methoxy-3-methyl-2-phenylnaphthalen-1-yl)oxybenzaldehyde react together in the presence of oxolane, ethyl acetate, oxidane, lithium;butane to produce 1-[4-(2-diethoxyphosphorylethenyl)phenoxy]-6-methoxy-3-methyl-2-phenylnaphthalene."
0,1,"O-tert-butylhydroxylamine and 2-oxo-2-thiophen-2-ylacetic acid react together in the presence of chlorane, oxidane, hydrogen carbonate, sodium(1+) to produce 2-[(2-methylpropan-2-yl)oxyimino]-2-thiophen-2-ylacetic acid."
1,0,"methyl quinoline-7-carboxylate reacts in the presence of methanol, dioxoplatinum to produce methyl 1,2,3,4-tetrahydroquinoline-7-carboxylate."
0,1,"N-[6-(3-amino-4-methylphenoxy)imidazo[1,2-b]pyridazin-2-yl]cyclopropanecarboxamide and 5-methyl-1,3-thiazole-4-carboxylic acid react together in the presence of oxolane, N,N-dimethylacetamide, N,N-dimethylformamide, oxalyl dichloride to produce N-[5-[2-(cyclopropanecarbonylamino)imidazo[1,2-b]pyridazin-6-yl]oxy-2-methylphenyl]-5-methyl-1,3-thiazole-4-carboxamide."
0,1,(4-morpholin-4-ylphenoxy)boronic acid and 1-bromo-6-(3-hydroxyphenyl)naphthalen-2-ol react together to produce 6-(3-hydroxyphenyl)-1-(4-morpholin-4-ylphenyl)naphthalen-2-ol.
0,1,"1-[(2S,4R)-4-anilino-2-methyl-3,4-dihydro-2H-quinolin-1-yl]ethanone and furan-2-carbonyl chloride react together in the presence of toluene, pyridine to produce N-[(2S,4R)-1-acetyl-2-methyl-3,4-dihydro-2H-quinolin-4-yl]-N-phenylfuran-2-carboxamide."
0,1,"ethyl 2-amino-3-hydroxy-3-[5-(pyrrolidin-1-ylmethyl)thiophen-2-yl]propanoate and benzoyl chloride react together in the presence of N,N-diethylethanamine, dichloromethane, chloride, sodium(1+) to produce ethyl 2-benzamido-3-hydroxy-3-[5-(pyrrolidin-1-ylmethyl)thiophen-2-yl]propanoate."
0,1,"3-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyrazolo[1,5-a]pyrazine and 3-(6-chloropyrazin-2-yl)pyrazolo[1,5-a]pyridine react together to produce 3-(6-chloropyrazin-2-yl)pyrazolo[1,5-a]pyrazine."
