reaction,High-yielding,Not high-yielding
C#CCSc1ncc(Cl)cn1.OO>CO.O.O=[Se]=O.[Cl-].[Na+]>C#CCS(=O)c1ncc(Cl)cn1,0,1
CC(C)(C)OC(=O)n1cnc(CO)c1.O=C1c2ccccc2C(=O)N1O>C1CCOC1.CC(C)OC(=O)/N=N/C(=O)OC(C)C.c1ccc(P(c2ccccc2)c2ccccc2)cc1>CC(C)(C)OC(=O)n1cnc(CON2C(=O)c3ccccc3C2=O)c1,0,1
CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1.COc1cc(Br)ccc1[N+](=O)[O-]>CN(C)C=O.O=C([O-])[O-].[Cl-].[K+].[Li+].[O-]B[O-]>COc1cc(C2=CCN(C(=O)OC(C)(C)C)CC2)ccc1[N+](=O)[O-],1,0
Brc1ccc(Br)cc1.CC(C)(C#N)N1CCCCC1>C1CCOC1.CCOCC.II.O=C([O-])[O-].[K+].[Mg]>CC(C)(c1ccc(Br)cc1)N1CCCCC1,1,0
C#CCC[C@@H](C(=O)N1C(=O)OCC[C@@H]1Cc1ccccc1)[C@H](O)c1ccc(Cl)nc1.CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F>Cc1cccc(C)n1.ClCCl>C#CCC[C@@H](C(=O)N1C(=O)OCC[C@@H]1Cc1ccccc1)[C@H](O[Si](C)(C)C(C)(C)C)c1ccc(Cl)nc1,1,0
COc1ncc(F)cc1[C@H]1CCCN1c1ccn2ncc(C(=O)O)c2n1.OC1CNC1>CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.Cl.F[P-](F)(F)(F)(F)F>COc1ncc(F)cc1[C@H]1CCCN1c1ccn2ncc(C(=O)N3CC(O)C3)c2n1,1,0
NNC(=O)COc1ccc(C(=O)OCc2ccccc2)cc1.O=C1Nc2ccc(I)cc2C1=O>CC(=O)O>O=C(COc1ccc(C(=O)OCc2ccccc2)cc1)NN=C1C(=O)Nc2ccc(I)cc21,1,0
COC(=O)c1ccc(OCCc2c(CCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1OC>C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.[F-]>COC(=O)c1ccc(OCCc2c(CCO)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1OC,0,1
COc1cc2c(OC)nc(Cl)nc2c(OC)c1OC.NCc1ccc2c(c1)OCO2>CC(C)O.O=C([O-])[O-].[Na+]>COc1cc2c(OC)nc(NCc3ccc4c(c3)OCO4)nc2c(OC)c1OC,0,1
O=C(O)CCc1cccs1>C1CCOC1.CCOC(C)=O.CCOCC.CO>OCCCc1cccs1,1,0
CCCC(C(=O)OC)c1c(C)nc(-c2ccccc2)nc1-c1ccc2cc[nH]c2c1>CO.[Na+].[OH-]>CCCC(C(=O)O)c1c(C)nc(-c2ccccc2)nc1-c1ccc2cc[nH]c2c1,0,1
O=C(O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]>CCO.[H][H].[Pd]>Nc1cc(C(F)(F)F)ccc1C(=O)O,1,0
CCC(=O)OC(=O)CC.COC(=O)[C@@H]1CNC[C@H]1c1ccc(OC)c(OC2CCCC2)c1>CN(C)c1ccncc1.ClCCl>CCC(=O)N1C[C@@H](C(=O)OC)[C@H](c2ccc(OC)c(OC3CCCC3)c2)C1,0,1
CCOC(=O)CCCCCCN(c1ccccn1)c1ccc(OS(=O)(=O)C(F)(F)F)cn1.OB(O)c1ccc(F)cc1>Cc1ccccc1.O.O=C([O-])[O-].[K+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>CCOC(=O)CCCCCCN(c1ccccn1)c1ccc(-c2ccc(F)cc2)cn1,0,1
Brc1cn[nH]c1.CN(C)CCCl>CN(C)C=O.Cl.O=C([O-])[O-].[K+]>CN(C)CCn1cc(Br)cn1,1,0
CC1(C)CCCC(S)C1.N#Cc1ccc(CBr)cc1>CC#N.O.O=C([O-])[O-].[K+]>CC1(C)CCCC(SCc2ccc(C#N)cc2)C1,0,1
CN(CCNC(=O)OCc1ccc([N+](=O)[O-])cc1)C(=O)c1csc(N2CC(O[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)C2)n1>C1CCOC1.CC(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.[F-]>CN(CCNC(=O)OCc1ccc([N+](=O)[O-])cc1)C(=O)c1csc(N2CC(O)C2)n1,1,0
CC(C)(C)OC(=O)C(C)(C)Sc1nc(CNC(=O)c2ccc(Br)cc2)cs1.OB(O)Oc1ccc(C(F)(F)F)cc1>C1COCCO1.O.O=C([O-])[O-].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>CC(C)(C)OC(=O)C(C)(C)Sc1nc(CNC(=O)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)cs1,1,0
COc1ccc2cc(C(=O)N(C)OC)oc2c1>C1CCOC1.[Al+3].[H-].[Li+]>COc1ccc2cc(C=O)oc2c1,1,0
CCOC(=O)[C@H](Cc1ccc(OCCc2ccc(S(=O)(=O)c3ccccc3)cc2)cc1)OCC>C1CCOC1.CC#N.Cl.O.[Li+].[OH-]>CCO[C@@H](Cc1ccc(OCCc2ccc(S(=O)(=O)c3ccccc3)cc2)cc1)C(=O)O,0,1
C1=COCCC1.O=[N+]([O-])c1ccc(CO)cc1>CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2.CCOC(C)=O.O=C([O-])O.[Na+]>O=[N+]([O-])c1ccc(COC2CCCCO2)cc1,1,0
CC(=O)OCC(CO)c1ccc(Br)cc1.Cc1ccc(S(=O)(=O)Cl)cc1>CCN(CC)CC.CN(C)c1ccncc1.ClCCl>CC(=O)OCC(COS(=O)(=O)c1ccc(C)cc1)c1ccc(Br)cc1,1,0
Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CC[C@H](N)C1>CN1CCCC1=O.O.[H-].[Na+]>CC(C)(C)OC(=O)N1CC[C@H](Nc2nc(Br)cc3cccnc23)C1,1,0
O=C(O)c1cccc2c1OC(c1ccccc1)C(=O)N2>C1CCOC1.O.O=C([O-])O.[BH4-].[Na+]>OCc1cccc2c1OC(c1ccccc1)C=N2,1,0
COc1ccc(C(=O)C2CCN(CC(=O)O)CC2)cc1C.NCc1nc2c(c(=O)[nH]1)COCC2>CCN(CC)CC.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.O.On1nnc2ccccc21>COc1ccc(C(=O)C2CCN(CC(=O)NCc3nc4c(c(=O)[nH]3)COCC4)CC2)cc1C,0,1
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(C)C>C1CCOC1.CCNCC>CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](N)C(C)C,0,1
NC(=O)c1cccc(N)c1.O.O=C(n1ccnc1)n1ccnc1>C1CCOC1>NCC(=O)Nc1cccc(C(N)=O)c1,0,1
CCOC(=O)c1ccc(Sc2c(-c3cc(Cl)ccc3OC)c3cc(C(F)(F)F)ccc3[nH]c2=O)cc1>C1CCOC1.Cl.O.[Na+].[OH-]>COc1ccc(Cl)cc1-c1c(Sc2ccc(C(=O)O)cc2)c(=O)[nH]c2ccc(C(F)(F)F)cc12,1,0
COc1cc2ncnc(Oc3ccc(N)c(Cl)c3)c2cc1OC.Cc1cnc(N)s1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>CCN(CC)CC.ClC(Cl)Cl.O>COc1cc2ncnc(Oc3ccc(NC(=O)Nc4ncc(C)s4)c(Cl)c3)c2cc1OC,0,1
COC(=O)C[C@@H](Oc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br)C(=O)OC>C1COCCO1.Cl.O>O=C(O)C[C@@H](Oc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br)C(=O)O,0,1
CCCOC(=O)[C@H]1CC[C@H](C(CN)NC(=O)OC(C)(C)C)CC1.O=C(O)C1(c2ccc(Cl)cc2)CC1>CCN(C(C)C)C(C)C.CN(C)C(On1nnc2ccccc21)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F>CCCOC(=O)[C@H]1CC[C@H](C(CNC(=O)C2(c3ccc(Cl)cc3)CC2)NC(=O)OC(C)(C)C)CC1,1,0
CCOC(=O)c1c(O)c2cc(-c3ccc4c(ccn4C)c3)c(Cl)cc2[nH]c1=O>CCO.[Na+].[OH-]>Cn1ccc2cc(-c3cc4c(O)cc(=O)[nH]c4cc3Cl)ccc21,0,1
C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)OC(C)(C)C)C(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)OC(C)(C)C>CO.[Pd]>C[C@H](N)C(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)OC(C)(C)C)C(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)OC(C)(C)C,1,0
CC1=CC=C(C(C)C)C(C#N)(O[Si](C)(C)C)CC(C)=CCCC(C)=CCC1>C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.CCOCC.[F-]>CC1=CC=C(C(C)C)C(=O)CC(C)=CCCC(C)=CCC1,1,0
Cc1cc([N+](=O)[O-])ccc1NC(=O)c1ccccc1.O=C([O-])[O-]>CI.CN(C)C=O.[Cs+]>Cc1cc([N+](=O)[O-])ccc1N(C)C(=O)c1ccccc1,1,0
NCCCOCc1ccccc1.O=C(O)c1cc2ccc3c(c2c(-c2ccc4c(c2)OCO4)c1COCc1ccccc1)OCO3>C(=NC1CCCCC1)=NC1CCCCC1.ClCCl.O.On1nnc2ccccc21>O=C(NCCCOCc1ccccc1)c1cc2ccc3c(c2c(-c2ccc4c(c2)OCO4)c1COCc1ccccc1)OCO3,1,0
Brc1cccnc1N[C@H]1C[C@H](Nc2nc3ccccc3s2)C1.CC(C)(C)[O-].NC1CC1>C1CCOC1.CCN(CC)CC.CCOC(C)=O.ClCCl.O.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.[Na+].[Pd+2]>O=c1n(C2CC2)c2cccnc2n1[C@H]1C[C@H](Nc2nc3ccccc3s2)C1,0,1
CCCC[Sn](CCCC)(CCCC)c1ccnc(SC)n1.Fc1ccc(-c2nc3c(OCc4ccccc4)cccn3c2I)cc1>CCOC(C)=O.Cc1ccccc1.Cl[Pd](Cl)([PH](c1ccccc1)(c1ccccc1)c1ccccc1)[PH](c1ccccc1)(c1ccccc1)c1ccccc1.[F-].[K+]>CSc1nccc(-c2c(-c3ccc(F)cc3)nc3c(OCc4ccccc4)cccn23)n1,0,1
CCOC(=O)CNC(=O)c1cccc(O)c1>C1CCOC1.CO.[Li+].[OH-]>O=C(O)CNC(=O)c1cccc(O)c1,1,0
CC(C)(C)OC(=O)NCCc1cccc(N)c1.O=C([O-])Cc1nc(N2CCOCC2)cc(=O)[nH]1>[Na+]>CC(C)(C)OC(=O)NCCc1cccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1,0,1
C1=COCCC1.CC(O)Cl.ClCCl>>ClCCOC1CCCCO1,0,1
Cc1cccc(S)c1C(=O)O.N#Cc1ccccn1>c1ccncc1>Cc1cccc2sc(-c3ccccn3)nc(=O)c12,0,1
CCSc1ccc2ccc(-c3nnc4ccc([C@@H](N5CC[C@H](NC(=O)OC(C)(C)C)C5)C(F)(F)F)cn34)nc2c1>O=C(O)C(F)(F)F>CCSc1ccc2ccc(-c3nnc4ccc([C@@H](N5CC[C@H](N)C5)C(F)(F)F)cn34)nc2c1,1,0
CN(C)C=O.CN(C)CCc1c[nH]c2ccc(Br)cc12>C1CCOC1.[C-]#N.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>CN(C)CCc1c[nH]c2ccc(C#N)cc12,1,0
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CNN>ClCCl>CN(N)C(=O)OC(C)(C)C,1,0
CC(=O)c1ccc(C(=O)O)cc1.COc1cc(OC)c(-c2cc3ccccc3s2)cc1C=O>CCCCCCC.CN(C)C=O.CO.O.[Li]OC>COc1cc(OC)c(-c2cc3ccccc3s2)cc1/C=C/C(=O)c1ccc(C(=O)O)cc1,1,0
COC(=O)c1ccc(N(C)CCc2c(CCN=[N+]=[N-])n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1>CO.ClCCl.[Pd]>COC(=O)c1ccc(N(C)CCc2c(CCN)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1,1,0
CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.O=S(=O)(OC1=CCN(c2ncccn2)CC1)C(F)(F)F>CC(=O)[O-].[Fe+2].[K+].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>CC1(C)OB(C2=CCN(c3ncccn3)CC2)OC1(C)C,1,0
CS(=O)(=O)O[C@@H]1CCOC1.Cc1cc(O)c(F)c(C)c1-c1cccc(CO)c1>CN(C)C=O.O.O=C([O-])[O-].[Cs+]>Cc1cc(O[C@H]2CCOC2)c(F)c(C)c1-c1cccc(CO)c1,0,1
Cc1ccc(Br)cn1.OB(O)c1cccc2c1C[C@H](N(Cc1ccccc1)Cc1ccccc1)CC2>>Cc1ccc(-c2cccc3c2C[C@H](N(Cc2ccccc2)Cc2ccccc2)CC3)cn1,0,1
O=C1NCCc2c1cc1n2CCCC1.O=Cc1c(Cl)ccnc1Br>C1COCCO1.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[K+].[Pd]>O=Cc1c(Cl)ccnc1N1CCc2c(cc3n2CCCC3)C1=O,0,1
CN(C)CCCN.O=C(O)c1ccc(-c2ccc(CSCCOc3ccccc3)cc2)cc1>C1CCOC1.O=C(n1ccnc1)n1ccnc1>CN(C)CCCNC(=O)c1ccc(-c2ccc(CSCCOc3ccccc3)cc2)cc1,1,0
CC(=O)O[C@@H]1[C@@H](C)O[C@@H](n2c(NC(C)C)nc3cc(F)c(F)c(F)c32)[C@@H]1OC(C)=O>CCO.CO.O.O=C([O-])[O-].[Na+]>CC(C)Nc1nc2cc(F)c(F)c(F)c2n1[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,0,1
CC(C)(C)S(=O)(=O)c1ccc(N)cc1C#N.CCS(=O)(=O)c1ccc(NC(=O)CCCc2ccc(Br)cc2C)cc1C#N>O=C(Cl)CCCc1ccc(Br)cc1>CC(C)(C)S(=O)(=O)c1ccc(NC(=O)CCCc2ccc(Br)cc2)cc1C#N,1,0
CC(C)Nc1ccc(C(=O)c2ccc(F)cc2)cc1N.O=N[O-]>Cl.O=C([O-])[O-].[K+].[Na+]>CC(C)n1nnc2cc(C(=O)c3ccc(F)cc3)ccc21,1,0
Brc1ccc2c(c1)OCO2.C1CCOOC1.OB(O)c1ccc(Cl)cc1>[F-].[K+]>O=Cc1ccc(-c2ccc3c(c2)OCO3)cc1,1,0
NC1Cc2ccccc2C1.OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](O)[C@@H]1O>CCN(CC)CC.CCO.CO.Cl>OC[C@H]1O[C@@H](n2cnc3c(NC4Cc5ccccc5C4)ncnc32)[C@H](O)[C@@H]1O,1,0
COc1cc(C(F)=C(F)F)ccc1Oc1cccc(F)n1>BrB(Br)Br>Oc1cc(C(F)=C(F)F)ccc1Oc1cccc(F)n1,0,1
CC[Mg]Br.CON(C)C(=O)c1ccc(C(F)(F)F)nc1Nc1ccccc1>C1CCOC1>CCC(=O)c1ccc(C(F)(F)F)nc1Nc1ccccc1,1,0
CC(C)(C)OC(=O)N1CCC(O)CC1.COc1cc2c(Cl)ncnc2cc1O>CC(C)(C)OC(=O)/N=N/C(=O)OC(C)(C)C.ClCCl.c1ccc(P(c2ccccc2)c2ccccc2)cc1>COc1cc2c(Cl)ncnc2cc1OC1CCN(C(=O)OC(C)(C)C)CC1,1,0
NC(=O)CN1C(=O)C(N)C(c2ccc(Cl)cc2)Sc2ccccc21.O=C(ON1C(=O)CCC1=O)c1cc2ccccc2[nH]1>CN(C)C=O>NC(=O)CN1C(=O)C(NC(=O)c2cc3ccccc3[nH]2)C(c2ccc(Cl)cc2)Sc2ccccc21,0,1
COc1ccc(-n2c(-c3ccccn3)nc3c(N)ncnc32)cn1>Cl>Nc1ncnc2c1nc(-c1ccccn1)n2-c1ccc(O)nc1,0,1
COc1cc(OC)c(OC)cc1C=O.ClC(Cl)(Cl)Cl>Br[Pb]Br.CN(C)C=O.Cl.[Al]>COc1cc(OC)c(C(O)C(Cl)(Cl)Cl)cc1OC,1,0
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NC1Cc2ccc(O)cc2C1>Br.CCN(CC)CC.CCOC(C)=O.CN(C)C=O>CC(C)(C)OC(=O)NC1Cc2ccc(O)cc2C1,0,1
CCC(CC)(c1ccc(O)c(C)c1)c1ccc(C#CC2(O)CCSCC2)c(C)c1.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F>CCN(CC)CC.ClCCl.O>CCC(CC)(c1ccc(C#CC2(O)CCSCC2)c(C)c1)c1ccc(OS(=O)(=O)C(F)(F)F)c(C)c1,1,0
CC[N+](=O)[O-].O=Cc1ccc(OCc2ccccc2)cc1O>CC(=O)O.CC(=O)[O-].O.[Na+]>N#Cc1ccc(OCc2ccccc2)cc1O,0,1
CCC=O.COc1ccc(F)c2c1C[C@@H](NC1CCCCC1)CO2>CO.[BH3-]C#N.[Na+]>CCCN(C1CCCCC1)[C@H]1COc2c(F)ccc(OC)c2C1,1,0
Cc1cc(-c2oc(Cl)nc2Cl)cc(C)c1C#N.Cc1ccc(N)cc1Nc1ncc(-c2ccc(C#N)cc2)o1>N#Cc1ccc(-c2cnc(Cl)o2)cc1>Cc1ccc(N)cc1Nc1nc(Cl)c(-c2cc(C)c(C#N)c(C)c2)o1,1,0
Cc1c(C2=NC(C)(C)CO2)cccc1[N+](=O)[O-]>C1CCOC1.[H][H].[Pd]>Cc1c(N)cccc1C1=NC(C)(C)CO1,1,0
COC(=O)/C=C/c1ccc2c(c1)C(=O)CC1(CCN(C(=O)OC(C)(C)C)CC1)O2.O=CCc1ccccc1>ClCCl.O=C([O-])[O-].[K+].[Na]>COC(=O)/C=C/c1ccc2c(c1)C(=O)CC1(CCN(CCc3ccccc3)CC1)O2,1,0
CC(C)=O.Cc1ccc2c(c1)c1c(n2CC(N)c2ccncc2)CCN(C)C1>CC(=O)O.ClCCl.[BH3-]C#N.[Na+]>Cc1ccc2c(c1)c1c(n2CC(NC(C)C)c2ccncc2)CCN(C)C1,0,1
C1CCNC1.COC(OC)c1ccc(C=O)cc1>CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.ClCCl.O=C([O-])[O-].O=S(=O)([O-])[O-].[K+].[Na+]>O=Cc1ccc(CN2CCCC2)cc1,1,0
Cc1cc(N)nn1C(=O)OC(C)(C)C.Fc1ccc(C(F)(F)c2nc(Cl)c3cccc(Cl)c3n2)nc1>CC(=O)N(C)C.CC(=O)O>Cc1cc(Nc2nc(C(F)(F)c3ccc(F)cn3)nc3c(Cl)cccc23)n[nH]1,0,1
CCCCCNCCCCC.COc1ccc(C=O)cc1C(=O)O>CCN=C=NCCCN(C)C.CCOC(C)=O.CN(C)C=O.CN1CCOCC1.Cl.On1nnc2cccnc21>CCCCCN(CCCCC)C(=O)c1cc(C=O)ccc1OC,1,0
COC(C)(OC)OC.Nc1ncnc(Nc2cc(Br)ccc2N)n1>C1CCOC1.CO.Cc1ccc(S(=O)(=O)O)cc1.O=C([O-])O.[Na+]>Cc1nc2ccc(Br)cc2n1-c1ncnc(N)n1,0,1
Cc1ncc(CCCNC(=O)OC(C)(C)C)cc1N/C(=N/C(=O)OCc1ccccc1)NC(=O)OCc1ccccc1>CO.[OH-].[Pd+2]>Cc1ncc(CCCNC(=O)OC(C)(C)C)cc1NC(=N)N,1,0
C/C=C/COC(=O)CC(C)=O.CC(=O)Nc1ccc(S(=O)(=O)N=[N+]=[N-])cc1>CC#N.CCN(CC)CC.CCOCC.O.[Li+].[OH-]>C/C=C/COC(=O)C=[N+]=[N-],1,0
COc1ccc(B(O)O)cc1F.CS(=O)(=O)c1ccc(-c2ccccc2Br)cc1>>COc1ccc(-c2ccccc2-c2ccc(S(C)(=O)=O)cc2)cc1F,1,0
CC(C)CN(C)C(=O)CCl.CCN(C(=O)c1ccc(O)cc1)c1cc(OC)ccc1C1CCc2cc(OC(=O)C(C)(C)C)ccc2C1>>CCN(Cc1ccc(OCCN(C)CC(C)C)cc1)c1cc(OC)ccc1C1CCc2cc(O)ccc2C1,0,1
O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.OC1(Cl)C=CC=CC1(O)Cl>ClCCl.c1ccncc1>O=S(=O)(c1cc(Cl)c(Cl)cc1S(=O)(=O)C(F)(F)F)C(F)(F)F,1,0
C1CCOC1.C=CCC(Cc1c(Cl)cc(OCc2ccccc2)cc1Cl)C(=O)N1C(=O)OC[C@H]1Cc1ccccc1>CC(C)(C)O.O.O=[Os](=O)(=O)=O.[Na+].[O-][I+3]([O-])([O-])[O-]>O=CCC(Cc1c(Cl)cc(OCc2ccccc2)cc1Cl)C(=O)N1C(=O)OC[C@H]1Cc1ccccc1,0,1
CC1(C)OB(c2occc2-c2ccccc2)OC1(C)C.COC(=O)c1ccc2nc(Cl)c(N(C)C(C)C)nc2c1>C1COCCO1.O.O=P([O-])([O-])[O-].[K+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>COC(=O)c1ccc2nc(-c3occc3-c3ccccc3)c(N(C)C(C)C)nc2c1,1,0
Cc1ncn(-c2ccc([N+](=O)[O-])cc2F)n1>C1CCOC1.CCN(CC)CC.[H][H].[Pd]>Cc1ncn(-c2ccc(N)cc2F)n1,1,0
C1CCOC1.COC(=O)Cc1c(C)nc2cc(-c3ccc4c(c3)CCCC4)nn2c1Cl>C1CCOC1.C[Si](C)(C)[N-][Si](C)(C)C.O=S(=O)(c1ccccc1)N1OC1c1ccccc1.[K+]>COC(=O)C(O)c1c(C)nc2cc(-c3ccc4c(c3)CCCC4)nn2c1Cl,1,0
NC(=O)c1c(N)ncn1Cc1ccccc1.O=C(O)c1ccncc1>>NC(=O)c1c(NC(=O)c2ccncc2)ncn1Cc1ccccc1,1,0
CC1c2ccccc2CNc2ccc(Br)cc21>ClCCl.O=[Mn]=O>CC1c2ccccc2C=Nc2ccc(Br)cc21,1,0
Cn1cc(C(=S)Nc2ccccc2C2CC3CCC2C3)c(C(F)F)n1.NNc1ccccc1>C1CCCCC1.CCOC(C)=O.CN(C)C=O.CO.O>Cn1cc(C(=NNc2ccccc2)Nc2ccccc2C2CC3CCC2C3)c(C(F)F)n1,0,1
CC(N)c1ccc(F)cc1F.COc1cc2c(Oc3ccc(N)cc3F)ccnc2cc1OCCCN1CCOCC1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>CCN(CC)CC.ClC(Cl)Cl>COc1cc2c(Oc3ccc(NC(=O)NC(C)c4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCOCC1,1,0
CC(Cc1ccc(Cl)cc1Cl)NO.Cn1cc(C(=O)Cl)c(C(F)F)n1>CCN(CC)CC.Cl.ClCCl>CC(Cc1ccc(Cl)cc1Cl)N(O)C(=O)c1cn(C)nc1C(F)F,0,1
CCC(C(=O)O)c1ccccc1.CS(=O)(=O)Nc1ccccc1>O>CCC(C(=O)c1ccc(NS(C)(=O)=O)cc1)c1ccccc1,0,1
ClCCBr.O=c1[nH]c2ccccc2n1CCOC1CCCCO1>CN(C)C=O.O>O=c1n(CCCl)c2ccccc2n1CCOC1CCCCO1,0,1
CC(C)(C)OC(=O)N(Cc1cccc(CCO)c1)Cc1ccccc1O.COCCl>CN(C)C=O.[H-].[Na+]>COCOc1ccccc1CN(Cc1cccc(CCO)c1)C(=O)OC(C)(C)C,0,1
COC(=O)CC(=O)CC(=O)OC.N#CCC(=O)O>CC(=O)O.Cc1ccccc1>COC(=O)CC(=CC#N)CC(=O)OC,0,1
CCCN(CCC)C(=O)/C=C(\C)C(=O)O>C1CCOC1.[Pd]>CCCN(CCC)C(=O)CC(C)C(=O)O,0,1
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CC(C)=O)CC3)cc21.NO>CO.Cl.ClCCl.O.O=C([O-])O.[Na+]>CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CC(C)=NO)CC3)cc21,1,0
COc1cccc(N=C=O)c1.Nc1ccccc1N1CCN(Cc2ccc(Cl)c(Cl)c2)CC1>CCN(CC)CC.ClCCl>COc1cccc(NC(=O)Nc2ccccc2N2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)c1,0,1
CCOC(=O)c1ccc(OC)c(/C=C/c2ccc(OC(F)(F)F)cc2)c1>CO.Cl.[K+].[OH-]>COc1ccc(C(=O)O)cc1/C=C/c1ccc(OC(F)(F)F)cc1,1,0
BrCc1ccc(OCc2ccccc2)cc1.COP(=O)(CC(=O)OC(C)(C)C)OC>C1CCOC1.[Cl-].[H-].[NH4+].[Na+]>COP(=O)(OC)C(Cc1ccc(OCc2ccccc2)cc1)C(=O)OC(C)(C)C,0,1
CN(C)C(=O)Cl.Nc1ccc(NCc2ccc(Cl)cc2Cl)cc1[N+](=O)[O-]>Cl.Nc1c(F)c(N)c(F)c(F)c1F>CN(C)C(=O)Nc1ccc(NCc2ccc(Cl)cc2Cl)cc1N,0,1
Brc1ccccc1COCCN1CCCC1.C=CC(=O)OCC>CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1.Cc1ccccc1P(c1ccccc1C)c1ccccc1C.O=C([O-])[O-].[Br-].[K+].[Pd+2]>CCOC(=O)/C=C/c1ccccc1COCCN1CCCC1,0,1
N.O=C(Nc1cc(F)c(Oc2cc(Cl)ncn2)cc1F)OCc1ccccc1>CC(C)O>Nc1cc(Oc2cc(F)c(NC(=O)OCc3ccccc3)cc2F)ncn1,0,1
CCCCCCCCCCCCCCCC(=O)Cl.NCC(=O)O>CC(C)O.Cl.O.[Na+].[OH-]>CCCCCCCCCCCCCCCC(=O)NCC(=O)O,0,1
